nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x
0.1640729,0.5391018,0.26846558,0.45139945,0.26775137,0.6293884,0.4043153,0.41733837,0.392222,0.66207784,0.4600191,0.5044951,0.46874687,0.59972864,0.5038201,0.48178208,0.49831322,0.56829596,0.71779567,0.43818948,0.69390905,0.62771785,0.89069825,0.3833635,0.87899786,0.6611912
0.16048117,0.5438761,0.26424307,0.45227197,0.26105613,0.6241502,0.40020606,0.41230056,0.3811585,0.6785287,0.4440693,0.50482714,0.43414867,0.6054587,0.5079827,0.48298064,0.5014933,0.57408816,0.7135381,0.42747208,0.69180036,0.63967234,0.88707536,0.3731629,0.86610126,0.6895113
0.14900237,0.541562,0.26582462,0.43121374,0.25543612,0.61292505,0.40695775,0.39776498,0.37852517,0.6771513,0.44711968,0.5020269,0.43378508,0.6081116,0.51434,0.4739075,0.50867647,0.56977725,0.71988535,0.42077705,0.69262326,0.6504182,0.90162677,0.33282235,0.86752033,0.696393
0.14795591,0.5466305,0.26273295,0.43950227,0.25198337,0.62197745,0.39458016,0.40304664,0.37847063,0.6817818,0.4563927,0.47719684,0.44209957,0.6361191,0.51885,0.49219215,0.51440966,0.5850757,0.7147447,0.42149416,0.70125294,0.6680409,0.88923514,0.32036895,0.871002,0.6905871
0.1372608,0.56966484,0.24920623,0.4596155,0.24575397,0.6386582,0.3823963,0.41356426,0.36419037,0.69915944,0.4458189,0.4955539,0.43264207,0.64003927,0.502094,0.5048565,0.49734375,0.60353166,0.70561796,0.44507164,0.68715584,0.666519,0.8764616,0.31771448,0.85860234,0.68600327
0.12082814,0.5876683,0.23609357,0.47299463,0.23539847,0.66042817,0.37514383,0.42629313,0.36127883,0.70835155,0.44412926,0.50376934,0.44113144,0.65961874,0.49351573,0.5235746,0.49190858,0.6164202,0.7026232,0.4748241,0.69820845,0.4773838,0.8704938,0.6835352,0.8822007,0.33270952
0.12033071,0.5845368,0.2292926,0.4660923,0.22282183,0.6506462,0.3708357,0.41997942,0.35390642,0.7113977,0.4495458,0.4956282,0.4203402,0.65919447,0.4905061,0.51331425,0.4857812,0.6112883,0.693329,0.4615001,0.6770056,0.6378893,0.8830732,0.3497328,0.8637124,0.6596056
0.12577872,0.5682784,0.23077556,0.45156643,0.22856548,0.6400597,0.37522057,0.404723,0.35315615,0.70052755,0.4304475,0.505044,0.39586747,0.6439007,0.49242765,0.4934966,0.48726624,0.5918635,0.70027107,0.43204018,0.6642494,0.6374757,0.8499941,0.35921088,0.8628828,0.64579237
0.12064078,0.54119915,0.23591419,0.43753105,0.22978118,0.62320745,0.384999,0.3830364,0.34124723,0.688871,0.4180466,0.46047628,0.42035913,0.62339705,0.49098676,0.4647616,0.4926808,0.5701322,0.7010536,0.42221698,0.6756479,0.6334326,0.8658685,0.3516194,0.8678447,0.63378716
0.1251056,0.53867096,0.24366659,0.4320799,0.23783392,0.6153691,0.40046313,0.38645458,0.3571427,0.679686,0.42199135,0.47489673,0.43837133,0.62085545,0.4982851,0.45935193,0.49892718,0.55929714,0.7086152,0.42162576,0.6729462,0.63133603,0.88712645,0.352178,0.8754664,0.6311083
0.13871522,0.5350537,0.24955031,0.43056145,0.24690686,0.6158741,0.40980843,0.3912012,0.36053032,0.67527705,0.4170211,0.47153986,0.4389782,0.6184941,0.50521994,0.45827487,0.50367343,0.55523604,0.7132861,0.41735852,0.6772075,0.6285639,0.91310763,0.3504839,0.87715393,0.645489
0.13439006,0.5315759,0.24253656,0.43357083,0.24260963,0.6079358,0.38743997,0.38291103,0.348776,0.6667518,0.43217376,0.45129076,0.43078873,0.61988187,0.49552372,0.45860758,0.49577844,0.5507342,0.69654065,0.4161752,0.67544687,0.623922,0.88448405,0.34905425,0.84686375,0.665354
0.15322153,0.5530688,0.25675997,0.4340227,0.25649077,0.6154547,0.39755157,0.39161873,0.3694553,0.6684027,0.46659496,0.44049928,0.45716125,0.62527156,0.49686462,0.45838365,0.4996853,0.55360585,0.70711756,0.4227343,0.70147336,0.6343077,0.9036161,0.35833615,0.87850267,0.69735074
